name,full_address,latitude,longitude
Look Cafe,"Tadeusza Kościuszki 86, 50-441 Wrocław",51.1008872,17.0420533
Szczytnicki Park,51-618 Wrocław,51.1147656,17.0810544
Park Południowy,53-141 Wrocław,51.0763017,17.011135499999998
Park Grabiszyński (Strefa Osiedlowa),"Ślusarska, Wrocław",51.0854968,16.9901956
Skowroni Park,"Spiska, 50-562 Wrocław",51.0803212,17.027437499999998
Park Wschodni,"50-001, Wrocław",51.0846862,17.0841593
Park imienia generała Mariana Langiewicza,"50-001, Wrocław",51.091329,17.0067531
Park Dąbski we Wrocławiu,"Zygmunta Wróblewskiego 7, 50-438 Wrocław",51.1019981,17.0816523
Stanisław Tołpa Park,Wrocław,51.1204425,17.0539466
Wzgórze Słowiańskie,"Unnamed Road, 50-301 Wrocław",51.1248948,17.0438483
St. Edith Stein Park,"Błogosławionej Edyty Stein, Wrocław",51.1214923,17.0511782
Park Powstańców Śląskich,"Unnamed Road, 50-001 Wrocław",51.0901881,17.016428899999998
Juliusz Słowacki Park,52-443 Wrocław,51.1096512,17.0451974
Park kieszonkowy przy ulicy Kwaśnej,"Kwaśna 2B, 53-425 Wrocław",51.0950016,17.0050822
Staszic Park,"Plac ks. Stanisława Staszica, 52-443 Wrocław",51.1240172,17.0308575
Park,"Plac ks. Stanisława Staszica 16, 52-007 Wrocław",51.1247168,17.0299643
Park Oławski,50-439 Wrocław,51.0948927,17.0514659
Park Generała Władysława Andersa,"Kamienna, 50-549 Wrocław",51.0877861,17.0306288
Park,"aleja Dąbska, 51-621 Wrocław",51.1086826,17.0828366
Park Goethego we Wrocławiu,"Przestrzenna 34, 50-533 Wrocław",51.0893487,17.0397027
Park Tarnogajski,"Bpa Bernarda Bogedaina 8-10, Wrocław",51.0837727,17.0669131
Plac Teatralny,"plac Teatralny, 50-070 Wrocław",51.1056991,17.031587299999998
Park przy wybrzeżu,"plac Grunwaldzki, Wrocław",51.1094897,17.0541803
ROD Gajowice,"Jemiołowa 57, 53-447 Wrocław",51.094214,17.006511
Skwer Ormiański,"Klemensa Janickiego 2/4, 50-529 Wrocław",51.1091439,17.0404902
Skwer Adama Wójcika,"Mieszczańska 4, 50-201 Wrocław",51.1173019,17.0247809
ŚLADAMI KRASNALI,"Rynek, 50-116 Wrocław",51.1109641,17.0322207
Ptasi Skwer,"Skwierzyńska 1-7, 53-521 Wrocław",51.0993304,17.0161414
Las Rakowiecki,50-438 Wrocław,51.09479,17.075350399999998
Skwer,"Popowicka 86, 54-238 Wrocław",51.126357,16.992464
"ROD ""Pionierów""","Spiska 50-001, 50-562 Wrocław",51.0775128,17.0278722
Park,"Środkowa 34, 53-662 Wrocław",51.1138479,17.0169147
Plac miejski,"Księcia Witolda 43, 50-202 Wrocław",51.1150744,17.0270397
Psia łączka,50-001 Wrocław,51.0775443,17.010752
Park dla psów,"Środkowa 3A/1, 53-662 Wrocław",51.1132066,17.016563599999998
ROD Obrońca,"Starogroblowa 4 w, 54-241 Wrocław",51.1254438,17.0041314
Ogródek kieszonkowy przy MPK Sp. z o.o. we Wroclawiu,"Bolesława Prusa 75/79, 50-316 Wrocław",51.121165,17.059949
Skwer Pawła Adamowicza,"Pomorska 12, 52-007 Wrocław",51.1183904,17.0312484
Park Lesława Węgrzynowskiego,Wrocław,51.1044217,17.0145007
Skwer Skaczącej Gwiazdy,"Na Szańcach 11, 50-320 Wrocław",51.1190792,17.043935599999998
"Park ""Zielony Gaj""",Wrocław,51.0715007,17.0381856
Park Hotel Diament Wrocław,"Muchoborska 10, 54-424 Wrocław",51.1097564,16.9719568
Park Tadeusza Różewicza,"Sztabowa 62/66, 53-321 Wrocław",51.0890862,17.0131071
Rezedowa Skwer,"Świdnicka 2/3, 50-067 Wrocław",51.1087739,17.033175
Górka w parku przy Chopina,"Fryderyka Chopina 2, 51-609 Wrocław",51.1180945,17.0797199
Skwer Kornela Morawieckiego,"Szczepińska 1/13, 53-655 Wrocław",51.1135227,17.016784599999998
Skwer Spółdzielców,"Swobodna 14, 50-088 Wrocław",51.097172,17.0303018
Square St. Matthias,"plac Świętego Macieja, 50-244 Wrocław",51.1199888,17.0360177
Park,"Wybrzeże Stanisława Wyspiańskiego, Wrocław",51.1077083,17.0687553
Park Osiedlowy Dorota Barbara,"Powstańców Śląskich 52A, 50-529 Wrocław",51.0957698,17.0257385
Park Mieszczański,"Mieszczańska 29, 50-201 Wrocław",51.1196087,17.022284499999998
Dąb Pamięci,"Szczepin, 50-001 Wrocław",51.1154169,17.0142714
Popowickie tereny rekreacyjne nad Odrą,Wrocław,51.1313017,16.9979124
Wrocławski Park Przemysłowy,"Fabryczna 10, 53-609 Wrocław",51.1089843,16.9889793
Stara Odra,"Wrocław-Psie Pole, Przerwy-Tetmajera 17A, 51-153 Wrocław-Psie Pole",51.1350058,17.047708099999998
Ptasi Zagajnik,"Lubuska 1, 53-521 Wrocław",51.0993238,17.0157043
Fontanna w Parku Stanisława Staszica,"Plac ks. Stanisława Staszica, 50-221 Wrocław",51.1246883,17.0300787
Nadodrzański Ogród Społeczny,"Rydygiera 43A, 50-248 Wrocław",51.1203843,17.033051399999998
Promenada Atal Towers,53-659 Wrocław,51.1142402,17.0218846
Skwer Timbolla,53-307 Wrocław,51.0902739,17.020463799999998
Skwer,"Wandy 15, 53-320 Wrocław",51.0881285,17.0105883
Park Henrykowski we Wrocławiu,"Południe,50-001, 50-438 Wrocław",51.0902824,17.0513566
Skwer św. o. Damiana de Veuster,"skwer św. o. Damiana de Veuster, 52-007 Wrocław",51.1166642,17.014025699999998
Jumapark,"Borowska, 50-558 Wrocław",51.0730203,17.0326363
Ogrody-Mielnicki,"Franklina Delano Roosevelta 5, 50-301 Wrocław",51.1221244,17.0428623
Park Aleksandry Natalli-Świat,"Stacyjna 6, 53-671 Wrocław",51.1158947,16.9993861
Stowarzyszenie Ogrody Dolnośląskie,"Henryka Sienkiewicza 23, 50-335 Wrocław",51.1168188,17.0475161
Skwer Zygmunta Krasińskiego,50-401 Wrocław,51.1042022,17.0421942
Oławka,50-438 Wrocław,51.0949307,17.0655234
Park Tysiąclecia we Wrocławiu,"Graniczna, Wrocław",51.1149346,16.9353858
Piotr Włostowic Boulevard,"bulwar Piotra Włostowica, Wrocław",51.1137226,17.0408121
Ogród Barokowy Ossolineum,"Szewska 37, 50-139 Wrocław",51.1134118,17.036408599999998
Skwer Jerzego Szmajdzińskiego,"Kraińskiego 6, 50-153 Wrocław",51.1113928,17.0404594
Park Słoneczny,Wrocław,51.0805544,17.0442556
ROD Gajowice,"Stalowa b/m, Wrocław",51.095973,16.999596099999998
Skwer im. Ireny Sendlerowej,"plac Grunwaldzki, 50-001 Wrocław",51.108814,17.0649966
Karłowicka Pętelka - Darmowe biegi na dystansie 5 i 10 km,"Zawalna 17, 51-118 Wrocław",51.1345987,17.0394591
Monument with quote from Paweł Adamowicz,"Kaszubska 2, 50-214 Wrocław",51.1202551,17.0310205
Skwer,"Mikołaja Sępa-Szarzyńskiego, 50-334 Wrocław",51.1174145,17.052632
